cycle,router,eject,eject_sources,arrive,forward
45,"(3,0)",1,48,1,1
53,"(3,0)",1,60,1,1
61,"(3,0)",1,72,1,1
69,"(3,0)",1,84,1,1
77,"(3,0)",1,96,1,1
85,"(3,0)",1,108,1,1
93,"(3,0)",1,120,1,1
101,"(3,0)",1,132,1,1
109,"(3,0)",1,144,1,1
117,"(3,0)",1,156,1,1
125,"(3,0)",1,168,1,1
133,"(3,0)",1,180,1,1
137,"(3,0)",1,181,1,1
141,"(3,0)",1,182,1,1
145,"(3,0)",1,183,1,1
149,"(3,0)",1,184,1,1
153,"(3,0)",1,185,1,1
157,"(3,0)",1,186,1,1
161,"(3,0)",1,187,1,1
165,"(3,0)",1,188,1,1
169,"(3,0)",1,189,1,1
173,"(3,0)",1,190,1,1
177,"(3,0)",1,191,1,1
185,"(3,0)",1,179,1,1
189,"(3,0)",1,178,1,1
193,"(3,0)",1,177,1,1
197,"(3,0)",1,176,1,1
201,"(3,0)",1,175,1,1
205,"(3,0)",1,174,1,1
209,"(3,0)",1,173,1,1
213,"(3,0)",1,172,1,1
217,"(3,0)",1,171,1,1
221,"(3,0)",1,170,1,1
225,"(3,0)",1,169,1,1
233,"(3,0)",1,157,1,1
237,"(3,0)",1,158,1,1
241,"(3,0)",1,159,1,1
245,"(3,0)",1,160,1,1
249,"(3,0)",1,161,1,1
253,"(3,0)",1,162,1,1
257,"(3,0)",1,163,1,1
261,"(3,0)",1,164,1,1
265,"(3,0)",1,165,1,1
269,"(3,0)",1,166,1,1
273,"(3,0)",1,167,1,1
281,"(3,0)",1,155,1,1
285,"(3,0)",1,154,1,1
289,"(3,0)",1,153,1,1
293,"(3,0)",1,152,1,1
297,"(3,0)",1,151,1,1
301,"(3,0)",1,150,1,1
305,"(3,0)",1,149,1,1
309,"(3,0)",1,148,1,1
313,"(3,0)",1,147,1,1
317,"(3,0)",1,146,1,1
321,"(3,0)",1,145,1,1
329,"(3,0)",1,133,1,1
333,"(3,0)",1,134,1,1
337,"(3,0)",1,135,1,1
341,"(3,0)",1,136,1,1
345,"(3,0)",1,137,1,1
349,"(3,0)",1,138,1,1
353,"(3,0)",1,139,1,1
357,"(3,0)",1,140,1,1
361,"(3,0)",1,141,1,1
365,"(3,0)",1,142,1,1
369,"(3,0)",1,143,1,1
377,"(3,0)",1,131,1,1
381,"(3,0)",1,130,1,1
385,"(3,0)",1,129,1,1
389,"(3,0)",1,128,1,1
393,"(3,0)",1,127,1,1
397,"(3,0)",1,126,1,1
401,"(3,0)",1,125,1,1
405,"(3,0)",1,124,1,1
409,"(3,0)",1,123,1,1
413,"(3,0)",1,122,1,1
417,"(3,0)",1,121,1,1
425,"(3,0)",1,109,1,1
429,"(3,0)",1,110,1,1
433,"(3,0)",1,111,1,1
437,"(3,0)",1,112,1,1
441,"(3,0)",1,113,1,1
445,"(3,0)",1,114,1,1
449,"(3,0)",1,115,1,1
453,"(3,0)",1,116,1,1
457,"(3,0)",1,117,1,1
461,"(3,0)",1,118,1,1
465,"(3,0)",1,119,1,1
473,"(3,0)",1,107,1,1
477,"(3,0)",1,106,1,1
481,"(3,0)",1,105,1,1
485,"(3,0)",1,104,1,1
489,"(3,0)",1,103,1,1
493,"(3,0)",1,102,1,1
497,"(3,0)",1,101,1,1
501,"(3,0)",1,100,1,1
505,"(3,0)",1,99,1,1
509,"(3,0)",1,98,1,1
513,"(3,0)",1,97,1,1
521,"(3,0)",1,85,1,1
525,"(3,0)",1,86,1,1
529,"(3,0)",1,87,1,1
533,"(3,0)",1,88,1,1
537,"(3,0)",1,89,1,1
541,"(3,0)",1,90,1,1
545,"(3,0)",1,91,1,1
549,"(3,0)",1,92,1,1
553,"(3,0)",1,93,1,1
557,"(3,0)",1,94,1,1
561,"(3,0)",1,95,1,1
569,"(3,0)",1,83,1,1
573,"(3,0)",1,82,1,1
577,"(3,0)",1,81,1,1
581,"(3,0)",1,80,1,1
585,"(3,0)",1,79,1,1
589,"(3,0)",1,78,1,1
593,"(3,0)",1,77,1,1
597,"(3,0)",1,76,1,1
601,"(3,0)",1,75,1,1
605,"(3,0)",1,74,1,1
609,"(3,0)",1,73,1,1
617,"(3,0)",1,61,1,1
621,"(3,0)",1,62,1,1
625,"(3,0)",1,63,1,1
629,"(3,0)",1,64,1,1
633,"(3,0)",1,65,1,1
637,"(3,0)",1,66,1,1
641,"(3,0)",1,67,1,1
645,"(3,0)",1,68,1,1
649,"(3,0)",1,69,1,1
653,"(3,0)",1,70,1,1
657,"(3,0)",1,71,1,1
665,"(3,0)",1,59,1,1
669,"(3,0)",1,58,1,1
673,"(3,0)",1,57,1,1
677,"(3,0)",1,56,1,1
681,"(3,0)",1,55,1,1
685,"(3,0)",1,54,1,1
689,"(3,0)",1,53,1,1
693,"(3,0)",1,52,1,1
697,"(3,0)",1,51,1,1
701,"(3,0)",1,50,1,1
705,"(3,0)",1,49,1,1
713,"(3,0)",1,37,1,1
717,"(3,0)",1,38,1,1
721,"(3,0)",1,39,1,1
725,"(3,0)",1,40,1,1
729,"(3,0)",1,41,1,1
733,"(3,0)",1,42,1,1
737,"(3,0)",1,43,1,1
741,"(3,0)",1,44,1,1
745,"(3,0)",1,45,1,1
749,"(3,0)",1,46,1,1
753,"(3,0)",1,47,1,1
761,"(3,0)",1,35,1,1
765,"(3,0)",1,34,1,1
769,"(3,0)",1,33,1,1
773,"(3,0)",1,32,1,1
777,"(3,0)",1,31,1,1
781,"(3,0)",1,30,1,1
785,"(3,0)",1,29,1,1
789,"(3,0)",1,28,1,1
793,"(3,0)",1,27,1,1
797,"(3,0)",1,26,1,1
801,"(3,0)",1,25,1,1
809,"(3,0)",1,13,1,1
813,"(3,0)",1,14,1,1
817,"(3,0)",1,15,1,1
821,"(3,0)",1,16,1,1
825,"(3,0)",1,17,1,1
829,"(3,0)",1,18,1,1
833,"(3,0)",1,19,1,1
837,"(3,0)",1,20,1,1
841,"(3,0)",1,21,1,1
845,"(3,0)",1,22,1,1
849,"(3,0)",1,23,1,1
857,"(3,0)",1,11,1,1
861,"(3,0)",1,10,1,1
865,"(3,0)",1,9,1,1
869,"(3,0)",1,8,1,1
873,"(3,0)",1,7,1,1
877,"(3,0)",1,6,1,1
881,"(3,0)",1,5,1,1
885,"(3,0)",1,4,1,0
1,"(4,0)",0,—,0,1
5,"(4,0)",1,3,1,1
9,"(4,0)",1,2,1,1
13,"(4,0)",1,1,1,1
17,"(4,0)",1,0,1,1
25,"(4,0)",1,12,1,1
33,"(4,0)",1,24,1,1
41,"(4,0)",1,36,1,1
49,"(4,0)",1,48,1,1
57,"(4,0)",1,60,1,1
65,"(4,0)",1,72,1,1
73,"(4,0)",1,84,1,1
81,"(4,0)",1,96,1,1
89,"(4,0)",1,108,1,1
97,"(4,0)",1,120,1,1
105,"(4,0)",1,132,1,1
113,"(4,0)",1,144,1,1
121,"(4,0)",1,156,1,1
129,"(4,0)",1,168,1,1
137,"(4,0)",1,180,1,1
141,"(4,0)",1,181,1,1
145,"(4,0)",1,182,1,1
149,"(4,0)",1,183,1,1
